,Tweets,tweet_id,User,user_id,User_status_count,User_followers,User_friend_count,User_location,fav_count,rt_count,tweet_date,user_verified,User_friends_count
140,Excited to share the news that @Telekom_group and @Ericsson have strengthened their partnership with a #5G deal!… https://t.co/Aaz8jOGhwV,1286208914254512129,MEHRAN NMZ ☆,2583570284,1154,167,,Global,0,0,2020-07-23 07:57:56,False,195.0
141,@Elliechase19 Hi gorgeous Ellie! Love to watch You!,1286208799792148481,Kjell Ericsson,3295302089,2191,232,,,1,0,2020-07-23 07:57:29,False,957.0
142,"Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity… https://t.co/E4RS6h8ry2",1286208384707039234,Eva Zheng 郑怡斌 عائشة,4603259056,7736,29578,,China,10,8,2020-07-23 07:55:50,False,804.0
143,Excited to share the news that Deutsche Telekom and Ericsson have strengthened their partnership with a #5G deal!… https://t.co/ZJlXx7kHGc,1286208369372487691,🇮🇳 Akshay Saraswat,2521990932,252,130,,"New Delhi, India",0,0,2020-07-23 07:55:46,False,681.0
144,"RT @phone_museum: A glorious rugged device. The @Ericsson R250s PRO (1999). Supported GSM phase 2+ tech &amp; GSM Pro system, which combined ad…",1286207882661449728,3G4G,2831342142,6061,2839,,United Kingdom,0,5,2020-07-23 07:53:50,False,247.0
145,"RT @adam_tooze: Decoupling Round 2 - Beijing weighs banning Nokia and Ericsson, who are profiting from Huawei’s exclusion, from exporting k…",1286207799542898688,Lysis,512966590,25189,560,,,0,17,2020-07-23 07:53:30,False,5000.0
146,Discover how regulators can easily apply #5G spectrum for local industrial use in the Ericsson White Paper.… https://t.co/VCRJCpZRvz,1286207426807468032,Jörgen Eriksson,426901060,2489,219,,"Rome, Lazio",0,0,2020-07-23 07:52:01,False,305.0
147,Excited to share the news that Deutsche Telekom and Ericsson have strengthened their partnership with a #5G deal!… https://t.co/0EqM2LuqGx,1286207247769460737,Raman Yadav,101738767,306,71,,Earth,0,0,2020-07-23 07:51:19,False,207.0
148,RT @communicasia: China might stop exports of Nokia and Ericsson products made in country as a retaliation if European Union bans Huawei.…,1286206762224410624,defcon_5,17212941,22227,890,,ny | bos | sf | dc,0,1,2020-07-23 07:49:23,False,15.0
149,"RT @adam_tooze: Decoupling Round 2 - Beijing weighs banning Nokia and Ericsson, who are profiting from Huawei’s exclusion, from exporting k…",1286206739138871297,𝒜𝓃𝑔𝑒𝓁𝒶 𝑀𝓎𝑒𝓇𝓈,1205467189601603591,1045,71,,,0,17,2020-07-23 07:49:17,False,150.0
150,"We are looking for a Customer Security Director to join our team in Riyadh, Saudi Arabia. Interested? Apply now!… https://t.co/2dpnhRoxTm",1286206622130302976,Caroline Berns,3216598601,5229,1071,,"Johannesburg, South Africa",1,0,2020-07-23 07:48:49,False,936.0
151,China could retaliate against Nokia and Ericsson should the EU follow suit with the UK and ban Huawei   https://t.co/QuF99lkoJZ,1286206497819701248,Alison Meuse,394593711,25066,11125,,Lebanon,1,0,2020-07-23 07:48:20,True,9634.0
152,Telefonaktiebolaget LM Ericsson $ERIC Earns Overweight Rating from Morgan Stanley  https://t.co/HT4vGf3TDO,1286205727128920070,Stock News Times,887052326472740866,783701,2143,,,0,1,2020-07-23 07:45:16,False,10.0
153,"Want to work in #Muscat, Muscat Governorate? View our latest opening: https://t.co/2t3suYwzX9 #EricssonJobs",1286205584362991617,Ericsson Jobs,310299026,871,2658,,Global Jobs Listing,0,0,2020-07-23 07:44:42,False,0.0
154,RT @EricssonDigital: Is 5G NR Stand-Alone (SA) the next big thing for 5G Core? @dez_blanchfield and Ericsson's Anders Lundstrom discuss: ht…,1286205419589742592,Kevin L. Jackson,17899712,107301,67174,,"Virginia, USA",0,4,2020-07-23 07:44:03,True,26694.0
155,RT @EricssonDigital: Is 5G NR Stand-Alone (SA) the next big thing for 5G Core? @dez_blanchfield and Ericsson's Anders Lundstrom discuss: ht…,1286205418541158400,GC GlobalNet,1206594363868012546,7200,22,,,0,4,2020-07-23 07:44:02,False,22.0
